Use this table to estimate the effect of glossy lamination on offset prints.

The correction is valid for prints with a 150-200 lpi screen on coated paper.
Add the given DELTA_L/A/B values to your measurements on unlaminated prints.
Make sure that the CMYK sequence of your measurements matches this table.
Data are based on the work of the ECI, see documentation and www.eci.org.
This file is provided "AS IS", without warranties and liabilities of any kind.

ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	DELTA_L	DELTA_A	DELTA_B
1	0	0	0	0	-1.01	0.02	0.34
2	0	10	0	0	-2.97	2.75	-0.17
3	0	20	0	0	-4.46	5.06	-0.28
4	0	30	0	0	-5.7	7.11	-0.17
5	0	40	0	0	-5.75	7.84	0.22
6	0	55	0	0	-5.46	8.33	0.97
7	0	70	0	0	-4.55	7.69	1.39
8	0	85	0	0	-2.23	4.15	1.48
9	0	100	0	0	-0.68	1.66	1.27
10	10	0	0	0	-2.64	-1.28	-1.75
11	10	10	0	0	-4.21	1.01	-2
12	10	20	0	0	-5.33	3.21	-1.84
13	10	30	0	0	-6.52	5.09	-1.79
14	10	40	0	0	-6.36	5.85	-1.18
15	10	55	0	0	-5.98	6.17	-0.68
16	10	70	0	0	-5.05	5.81	-0.11
17	10	85	0	0	-2.9	2.71	0.04
18	10	100	0	0	-1.42	0.57	-0.06
19	20	0	0	0	-3.71	-2.54	-3.13
20	20	10	0	0	-5.11	-0.11	-3.38
21	20	20	0	0	-6.02	1.72	-3.11
22	20	30	0	0	-6.91	3.57	-2.87
23	20	40	0	0	-6.65	4.08	-2.34
24	20	55	0	0	-6.25	4.56	-1.65
25	20	70	0	0	-5.34	4.31	-1.14
26	20	85	0	0	-3.24	1.57	-0.76
27	20	100	0	0	-1.85	-0.2	-0.82
28	30	0	0	0	-4.95	-3.34	-4.72
29	30	10	0	0	-5.83	-1.57	-4.4
30	30	20	0	0	-6.56	0.14	-4.02
31	30	30	0	0	-7.24	1.88	-3.95
32	30	40	0	0	-7.07	2.31	-3.36
33	30	55	0	0	-6.56	3	-2.75
34	30	70	0	0	-5.58	2.85	-2.16
35	30	85	0	0	-3.63	0.38	-1.85
36	30	100	0	0	-2.35	-1.1	-1.78
37	40	0	0	0	-4.77	-3.82	-4.48
38	40	10	0	0	-5.69	-1.9	-4.39
39	40	20	0	0	-6.28	-0.44	-4.23
40	40	30	0	0	-6.81	1.18	-3.84
41	40	40	0	0	-6.62	1.72	-3.22
42	40	55	0	0	-6.06	2.27	-2.79
43	40	70	0	0	-5.17	2.04	-2.28
44	40	85	0	0	-3.59	0.15	-1.95
45	40	100	0	0	-2.4	-0.98	-1.89
46	55	0	0	0	-4.82	-3.87	-4.59
47	55	10	0	0	-5.35	-2.41	-4.26
48	55	20	0	0	-5.73	-1.21	-3.89
49	55	30	0	0	-6.25	0.16	-3.78
50	55	40	0	0	-5.89	0.55	-3.32
51	55	55	0	0	-5.47	1	-2.94
52	55	70	0	0	-4.83	1.16	-2.45
53	55	85	0	0	-3.44	-0.27	-2.11
54	55	100	0	0	-2.42	-1.06	-1.9
55	70	0	0	0	-4.04	-3.61	-3.76
56	70	10	0	0	-4.45	-2.44	-3.44
57	70	20	0	0	-4.77	-1.39	-3.29
58	70	30	0	0	-5.07	-0.33	-2.91
59	70	40	0	0	-4.81	0.05	-2.65
60	70	55	0	0	-4.59	0.51	-2.27
61	70	70	0	0	-4.05	0.6	-2.01
62	70	85	0	0	-3.05	-0.34	-1.78
63	70	100	0	0	-2.35	-0.71	-1.65
64	85	0	0	0	-2.19	-2.09	-1.68
65	85	10	0	0	-2.64	-1.19	-1.54
66	85	20	0	0	-3.02	-0.35	-1.44
67	85	30	0	0	-3.25	0.33	-1.27
68	85	40	0	0	-3.26	0.64	-1.15
69	85	55	0	0	-3.09	0.85	-0.92
70	85	70	0	0	-2.9	1.06	-0.94
71	85	85	0	0	-2.28	0.4	-0.86
72	85	100	0	0	-1.93	0.26	-0.81
73	100	0	0	0	-0.73	-0.75	-0.31
74	100	10	0	0	-1.12	-0.19	-0.23
75	100	20	0	0	-1.4	0.38	-0.22
76	100	30	0	0	-1.72	0.7	-0.2
77	100	40	0	0	-1.84	0.87	-0.19
78	100	55	0	0	-1.89	1.08	-0.27
79	100	70	0	0	-1.98	1.16	-0.34
80	100	85	0	0	-1.75	0.68	-0.4
81	100	100	0	0	-1.89	0.96	-0.57
82	0	0	10	0	-1.25	-0.34	3.98
83	0	10	10	0	-3.05	2.24	2.89
84	0	20	10	0	-4.38	4.52	2.16
85	0	30	10	0	-5.75	7.05	1.66
86	0	40	10	0	-5.57	7.44	1.71
87	0	55	10	0	-5.23	7.96	1.77
88	0	70	10	0	-4.31	7.35	1.94
89	0	85	10	0	-2.17	3.96	1.68
90	0	100	10	0	-0.63	1.57	1.14
91	10	0	10	0	-2.86	-1.83	1.73
92	10	10	10	0	-4.34	0.62	0.88
93	10	20	10	0	-5.36	2.51	0.48
94	10	30	10	0	-6.53	4.88	-0.01
95	10	40	10	0	-6.16	5.37	0.22
96	10	55	10	0	-5.78	5.76	0.19
97	10	70	10	0	-4.87	5.44	0.39
98	10	85	10	0	-2.79	2.51	0.33
99	10	100	10	0	-1.4	0.5	-0.11
100	20	0	10	0	-4	-3.11	0.17
101	20	10	10	0	-5.1	-0.89	-0.44
102	20	20	10	0	-5.87	1.06	-0.72
103	20	30	10	0	-6.81	3.03	-1.08
104	20	40	10	0	-6.55	3.43	-0.87
105	20	55	10	0	-6.12	4.1	-0.91
106	20	70	10	0	-5.19	3.88	-0.56
107	20	85	10	0	-3.18	1.31	-0.63
108	20	100	10	0	-1.86	-0.35	-0.9
109	30	0	10	0	-5.02	-4.35	-1.3
110	30	10	10	0	-5.96	-2.26	-1.69
111	30	20	10	0	-6.56	-0.61	-2.03
112	30	30	10	0	-7.17	1.22	-2.12
113	30	40	10	0	-6.86	1.74	-1.96
114	30	55	10	0	-6.41	2.44	-1.87
115	30	70	10	0	-5.42	2.34	-1.56
116	30	85	10	0	-3.6	0.14	-1.51
117	30	100	10	0	-2.33	-1.2	-1.74
118	40	0	10	0	-5.05	-4.64	-1.45
119	40	10	10	0	-5.78	-2.87	-1.8
120	40	20	10	0	-6.26	-1.19	-2.14
121	40	30	10	0	-6.72	0.36	-2
122	40	40	10	0	-6.54	0.98	-2.04
123	40	55	10	0	-5.91	1.65	-1.86
124	40	70	10	0	-5.09	1.7	-1.68
125	40	85	10	0	-3.45	-0.11	-1.62
126	40	100	10	0	-2.34	-1.26	-1.76
127	55	0	10	0	-4.93	-5.2	-1.68
128	55	10	10	0	-5.4	-3.58	-1.89
129	55	20	10	0	-5.75	-2.24	-1.99
130	55	30	10	0	-6.2	-0.74	-2.05
131	55	40	10	0	-5.87	-0.14	-2.04
132	55	55	10	0	-5.38	0.48	-1.91
133	55	70	10	0	-4.66	0.56	-1.82
134	55	85	10	0	-3.35	-0.75	-1.7
135	55	100	10	0	-2.4	-1.35	-1.77
136	70	0	10	0	-4.15	-5.05	-1.02
137	70	10	10	0	-4.55	-3.58	-1.13
138	70	20	10	0	-4.83	-2.46	-1.26
139	70	30	10	0	-5.08	-1.21	-1.39
140	70	40	10	0	-4.82	-0.86	-1.33
141	70	55	10	0	-4.44	-0.22	-1.37
142	70	70	10	0	-3.96	0.06	-1.39
143	70	85	10	0	-2.99	-0.71	-1.39
144	70	100	10	0	-2.35	-0.95	-1.41
145	85	0	10	0	-2.41	-3.48	0.74
146	85	10	10	0	-2.79	-2.38	0.56
147	85	20	10	0	-3.03	-1.57	0.38
148	85	30	10	0	-3.3	-0.62	0.21
149	85	40	10	0	-3.18	-0.33	0.18
150	85	55	10	0	-3.05	0.18	0.02
151	85	70	10	0	-2.8	0.36	-0.17
152	85	85	10	0	-2.25	-0.03	-0.35
153	85	100	10	0	-1.94	0	-0.55
154	100	0	10	0	-0.96	-2.11	1.93
155	100	10	10	0	-1.26	-1.48	1.79
156	100	20	10	0	-1.5	-0.94	1.44
157	100	30	10	0	-1.79	-0.36	1.31
158	100	40	10	0	-1.85	-0.1	1.14
159	100	55	10	0	-1.85	0.14	0.74
160	100	70	10	0	-1.89	0.33	0.5
161	100	85	10	0	-1.71	0.2	0.15
162	100	100	10	0	-1.71	0.44	-0.12
163	0	0	20	0	-1.32	-0.76	7.05
164	0	10	20	0	-3.07	2.24	5.16
165	0	20	20	0	-4.45	4.4	3.77
166	0	30	20	0	-5.57	6.74	2.93
167	0	40	20	0	-5.39	7.06	2.78
168	0	55	20	0	-5.02	7.77	2.38
