Use this table to estimate the effect of matte lamination on offset prints.

The correction is valid for prints with a 150-200 lpi screen on coated paper.
Add the given DELTA_L/A/B values to your measurements on unlaminated prints.
Make sure that the CMYK sequence of your measurements matches this table.
Data are based on the work of the ECI, see documentation and www.eci.org.
This file is provided "AS IS", without warranties and liabilities of any kind.

ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	DELTA_L	DELTA_A	DELTA_B
1	0	0	0	0	-0.89	0.07	0.28
2	0	10	0	0	-2.68	2.61	-0.17
3	0	20	0	0	-3.98	4.68	-0.22
4	0	30	0	0	-5.01	6.42	-0.06
5	0	40	0	0	-4.85	6.82	0.37
6	0	55	0	0	-4.2	6.62	1.17
7	0	70	0	0	-2.86	5.09	1.59
8	0	85	0	0	-0.17	0.67	1.64
9	0	100	0	0	1.72	-2.67	1.29
10	10	0	0	0	-2.39	-1.13	-1.66
11	10	10	0	0	-3.78	0.97	-1.85
12	10	20	0	0	-4.7	2.93	-1.62
13	10	30	0	0	-5.67	4.49	-1.5
14	10	40	0	0	-5.3	4.89	-0.83
15	10	55	0	0	-4.52	4.5	-0.23
16	10	70	0	0	-3.14	3.18	0.42
17	10	85	0	0	-0.58	-0.9	0.59
18	10	100	0	0	1.28	-4.01	0.44
19	20	0	0	0	-3.31	-2.27	-2.88
20	20	10	0	0	-4.52	-0.04	-3.06
21	20	20	0	0	-5.24	1.55	-2.71
22	20	30	0	0	-5.9	3.08	-2.38
23	20	40	0	0	-5.42	3.22	-1.76
24	20	55	0	0	-4.6	2.95	-0.93
25	20	70	0	0	-3.2	1.65	-0.26
26	20	85	0	0	-0.64	-2.18	0.22
27	20	100	0	0	1.17	-5.07	0.19
28	30	0	0	0	-4.39	-2.92	-4.29
29	30	10	0	0	-5.08	-1.34	-3.88
30	30	20	0	0	-5.61	0.13	-3.41
31	30	30	0	0	-6.05	1.53	-3.23
32	30	40	0	0	-5.65	1.59	-2.53
33	30	55	0	0	-4.69	1.47	-1.72
34	30	70	0	0	-3.19	0.2	-0.9
35	30	85	0	0	-0.74	-3.48	-0.41
36	30	100	0	0	1.06	-6.23	-0.2
37	40	0	0	0	-4.05	-3.23	-3.88
38	40	10	0	0	-4.78	-1.5	-3.7
39	40	20	0	0	-5.16	-0.29	-3.43
40	40	30	0	0	-5.45	1	-2.91
41	40	40	0	0	-5.01	1.15	-2.15
42	40	55	0	0	-3.98	0.86	-1.47
43	40	70	0	0	-2.53	-0.55	-0.65
44	40	85	0	0	-0.39	-3.79	-0.04
45	40	100	0	0	1.35	-6.36	0.28
46	55	0	0	0	-3.84	-2.92	-3.7
47	55	10	0	0	-4.18	-1.65	-3.25
48	55	20	0	0	-4.33	-0.7	-2.75
49	55	30	0	0	-4.59	0.33	-2.46
50	55	40	0	0	-3.96	0.31	-1.82
51	55	55	0	0	-3.03	-0.12	-1.11
52	55	70	0	0	-1.76	-1.26	-0.18
53	55	85	0	0	0.3	-4.26	0.61
54	55	100	0	0	1.96	-6.76	1.26
55	70	0	0	0	-2.77	-2.15	-2.53
56	70	10	0	0	-2.97	-1.17	-2.07
57	70	20	0	0	-3.05	-0.36	-1.76
58	70	30	0	0	-3.08	0.37	-1.16
59	70	40	0	0	-2.53	0.33	-0.68
60	70	55	0	0	-1.74	-0.15	0.14
61	70	70	0	0	-0.49	-1.46	0.97
62	70	85	0	0	1.28	-4.2	1.85
63	70	100	0	0	2.73	-6.53	2.62
64	85	0	0	0	-0.67	-0.07	-0.15
65	85	10	0	0	-0.89	0.65	0.15
66	85	20	0	0	-1.03	1.28	0.45
67	85	30	0	0	-0.97	1.64	0.86
68	85	40	0	0	-0.66	1.53	1.25
69	85	55	0	0	0.14	0.8	2.02
70	85	70	0	0	1.1	-0.43	2.7
71	85	85	0	0	2.62	-3.07	3.64
72	85	100	0	0	3.87	-5.48	4.56
73	100	0	0	0	1.07	1.94	1.54
74	100	10	0	0	0.91	2.36	1.8
75	100	20	0	0	0.89	2.75	2.04
76	100	30	0	0	0.89	2.77	2.33
77	100	40	0	0	1.11	2.58	2.65
78	100	55	0	0	1.72	1.86	3.18
79	100	70	0	0	2.47	0.45	3.94
80	100	85	0	0	3.7	-2.09	4.92
81	100	100	0	0	4.61	-4.34	5.9
82	0	0	10	0	-1.11	-0.27	3.66
83	0	10	10	0	-2.73	2.13	2.62
84	0	20	10	0	-3.88	4.16	1.94
85	0	30	10	0	-5.03	6.38	1.49
86	0	40	10	0	-4.65	6.43	1.57
87	0	55	10	0	-3.95	6.27	1.66
88	0	70	10	0	-2.61	4.77	1.82
89	0	85	10	0	-0.1	0.52	1.49
90	0	100	10	0	1.79	-2.73	0.8
